Ensembl_gene,Symbol,RNA_Seq_Enrich,RNA_Seq_Hedges_g,RNA_Seq_Var_g,RNA_Seq_SEg
ENSMUSG00000049985,Ankrd55,1.4093874540077005,7.648912746478338,1.9413836780495655,1.3933354506541364
ENSMUSG00000020098,Pcbd1,3.2963730910204285,7.629694249892147,1.9327474469789327,1.3902328750892539
ENSMUSG00000032514,Ttc21a,2.0671011111244706,7.607206575056432,1.922669727236125,1.3866036662421333
ENSMUSG00000020176,Grb10,1.6337356157167142,7.543082488567151,1.894096243522789,1.376261691511752
ENSMUSG00000030844,Rgs10,1.6689972729839995,7.518558689736954,1.8832324594548677,1.3723091705060007
ENSMUSG00000029430,Ran,0.9300015112545701,7.464825363693563,1.8595528400261516,1.3636542230441526
ENSMUSG00000043388,Tmem130,2.432551382755001,7.435098726765275,1.846525644917442,1.3588692523261545
ENSMUSG00000055653,Gpc3,2.411987287880857,7.4307299504159126,1.8446154837192497,1.358166220946188
ENSMUSG00000042707,Dnali1,2.4437595730321684,7.427289286088326,1.8431119114614376,1.3576125778223467
ENSMUSG00000031027,Stk33,2.069642517637357,7.4180776401508695,1.8390898448750799,1.3561304674975339
ENSMUSG00000063428,Ddo,0.8118538915652858,7.3902068145592725,1.826951047423669,1.3516475307652025
ENSMUSG00000023084,Lrrc71,1.4259352394714375,7.316221752450274,1.7949493994550878,1.3397572166086988
ENSMUSG00000090336,4932443I19Rik,0.8924784030607287,7.30848463909288,1.7916213697147945,1.3385146131868693
ENSMUSG00000036862,Dchs1,0.8740545978345284,7.22892231419073,1.7576028433838555,1.3257461459057143
ENSMUSG00000032595,Cdhr4,2.3907791482532996,7.188630489825566,1.7405172696969464,1.319286651830051
ENSMUSG00000037681,Esyt3,2.112895150521586,7.184677948318122,1.7388463550439743,1.3186532353291271
ENSMUSG00000020571,Pdia6,1.1323297780774269,7.179791597753369,1.7367819481651856,1.3178702319140476
ENSMUSG00000042761,Mrap2,2.7079735392362148,7.179171713103415,1.7365201569609015,1.317770904581256
ENSMUSG00000035227,Spcs2,1.2870650519542846,7.0979896518080485,1.7024304690476637,1.3047721904791134
ENSMUSG00000038011,Dnahc10,1.425502462953229,7.060001013332801,1.686611563491371,1.2986961012844271
ENSMUSG00000024011,Pi16,1.4732933338986718,6.993256274801934,1.6590238875147956,1.28803101186066
ENSMUSG00000018451,6330403K07Rik,2.403513169998858,6.968688192040326,1.64893511671555,1.2841086857098778
ENSMUSG00000054320,Lrrc36,1.6679048448261145,6.895263612807679,1.6189952688398837,1.2723974492429178
ENSMUSG00000050875,A730017C20Rik,3.154267508769858,6.876794850074882,1.611514301778319,1.2694543322933358
ENSMUSG00000025870,Arl10,2.612386984337,6.851613785284796,1.6013467739162082,1.2654433112218848
ENSMUSG00000055809,Dnaaf3,1.7249452743966853,6.834294174987364,1.5943751682562541,1.2626856965437814
ENSMUSG00000030125,Lrrc23,2.3613303213815287,6.806191994749189,1.5831008329363052,1.2582133495303192
ENSMUSG00000022805,Maats1,1.6808627952148567,6.802053428787028,1.5814444028976409,1.2575549303698987
ENSMUSG00000038880,Mrps34,1.091730311429714,6.746259006419794,1.5592114538866648,1.248683888695079
ENSMUSG00000036699,Zcchc12,2.746637056355143,6.684971718784341,1.5350007568056736,1.2389514747582626
ENSMUSG00000042607,Asb4,1.8729547881070499,6.670472982280087,1.529305548758089,1.2366509405479338
ENSMUSG00000091345,Col6a5,2.2433817690567714,6.660794722685291,1.525510740829372,1.235115679128628
ENSMUSG00000036357,Gpr101,1.0048528281382827,6.648285454563385,1.520614068700162,1.233131813189556
ENSMUSG00000031927,1700012B09Rik,2.9799893010021137,6.637720840866719,1.5164857885800829,1.2314567749539904
ENSMUSG00000049555,Tmie,2.3004436691212717,6.632508546226143,1.5144514254767427,1.2306304991656687
ENSMUSG00000028845,Tekt2,2.3683645816270857,6.621950261629172,1.5103354152334436,1.2289570436892592
ENSMUSG00000029778,Adcyap1r1,1.149710956660571,6.615184280048517,1.5077012326308072,1.2278848613085867
ENSMUSG00000021497,Txndc15,0.956573222417,6.587749255937338,1.4970476208690995,1.2235389739886096
ENSMUSG00000026650,Meig1,2.3645961353014857,6.5856947109223585,1.4962515787034458,1.2232136275824619
ENSMUSG00000020230,Prmt2,1.7497684100281425,6.582991881561034,1.4952047342101442,1.2227856452421022
ENSMUSG00000038987,1700019L03Rik,1.9126392112913213,6.469001540214248,1.4514458758159043,1.2047596755435934
ENSMUSG00000038524,Fchsd1,1.3809151261371426,6.447047340390881,1.4431058311672813,1.2012933992856538
ENSMUSG00000063409,Lrrc43,1.834026086789586,6.442147000079416,1.4412481417964307,1.2005199464383882
ENSMUSG00000020799,Tekt1,2.5878662781797424,6.427257518299258,1.4356122957935518,1.1981703951415057
ENSMUSG00000002266,Zim1,2.0733162787856716,6.422056619780021,1.4336467670031414,1.1973498933073579
ENSMUSG00000006270,Vax1,2.192036897778157,6.382186454329218,1.418631846713817,1.1910633260720511
ENSMUSG00000045655,Fam216b,1.7393557861517386,6.370165800471907,1.414123269880833,1.1891691510802125
