Ensembl_gene,Symbol,MoEx_Enrich,MoEx_Hedges_g,MoEx_Var_g,MoEx_SEg
ENSMUSG00000021685,Otp,1.5340351010112103,6.570785340372118,0.9714864453480767,0.9856401195913632
ENSMUSG00000006270,Vax1,2.1817949494942432,6.496640575567355,0.954184994970559,0.9768239324313052
ENSMUSG00000031789,Cngb1,1.715221720778787,6.494951399306785,0.9537931183857201,0.9766233247192697
ENSMUSG00000041798,Gck,1.9505556628787883,6.48471544442672,0.9514206311683857,0.975407930646653
ENSMUSG00000038872,Zfhx3,1.2267218360059093,6.483824594828788,0.9512143272633905,0.9753021722847697
ENSMUSG00000051435,Fhad1,1.833204478116667,6.3965643184405225,0.9311438576819577,0.9649579564322778
ENSMUSG00000029697,Fezf1,2.4961080471389403,6.366575794555774,0.9243090767511905,0.9614099420908806
ENSMUSG00000025020,Slit1,1.2018181186853019,6.306311444856321,0.9106711605315891,0.9542909202814356
ENSMUSG00000078161,BC007180,1.4108323939393932,6.304980669419642,0.9103714677142595,0.9541338835374518
ENSMUSG00000053093,Myh7,1.4668217676762114,6.280636497448644,0.9049002814879846,0.9512624671918811
ENSMUSG00000052364,B630019K06Rik,1.2127167424242424,6.271593535219556,0.9028733289509089,0.9501964686057873
ENSMUSG00000033760,Rbm4b,0.8990277272727276,6.217566004445605,0.8908240708907297,0.9438347688503161
ENSMUSG00000066357,Wdr6,1.526261835017121,6.19841465945504,0.8865779507283986,0.9415826839573881
ENSMUSG00000097920,RP24-361E14.1,2.1096458333333326,6.198178311305378,0.886525630874635,0.9415549006163342
ENSMUSG00000033061,Resp18,1.8972600946969704,6.19116820379422,0.8849747263913521,0.9407309532439931
ENSMUSG00000043384,Gprasp1,0.6543133052739396,6.152716094927701,0.8764988624111706,0.9362151795453706
ENSMUSG00000042258,Isl1,1.9891716969696973,6.090195319112272,0.8628303566996464,0.9288866220910097
ENSMUSG00000074939,Chrm5,1.2926102651515143,6.024983525402313,0.8487222755645084,0.9212612417574662
ENSMUSG00000083573,Gm7312,0.9009566363636372,6.012185011925011,0.8459712422831949,0.9197669499841766
ENSMUSG00000031340,Gabre,2.2429146969719698,6.0075517321037175,0.8449767636454563,0.9192261765449548
ENSMUSG00000087146,Gm15205,1.8939372727272712,5.980298090380389,0.8391426107151874,0.9160472753713027
ENSMUSG00000034424,Gcsh,1.0965166161609092,5.915717056653204,0.825423736511086,0.9085283355576127
ENSMUSG00000030866,Ern2,1.1665913419933345,5.880911739698161,0.8180918542921932,0.9044843029551111
ENSMUSG00000037795,N4bp2,1.2113805151515162,5.84312495491161,0.8101808962313208,0.9001004922958996
ENSMUSG00000051323,Pcdh19,1.0377956439393952,5.842226799420443,0.8099934808233857,0.899996378227927
ENSMUSG00000060036,Rpl3,0.9533803030303023,5.803898098681971,0.8020223944665603,0.8955570302703008
ENSMUSG00000050830,Vwc2,0.9439985227272727,5.774698570765962,0.7959850809544576,0.8921799599601291
ENSMUSG00000018339,Gpx3,2.1870415151492444,5.773586308616256,0.7957557109515047,0.8920514060027621
ENSMUSG00000062713,Sim2,1.4219465151515154,5.739006696505375,0.7886467645138697,0.8880578610168763
ENSMUSG00000022577,Ly6h,1.0701621969696964,5.737448888747866,0.7883275125220947,0.8878780955300647
ENSMUSG00000051136,Ghsr,1.2994372424242426,5.732440486869353,0.7873016943882521,0.8873002278756904
ENSMUSG00000067771,Gm14685,1.6700342171736353,5.729280895036621,0.7866550093656214,0.8869357413959713
ENSMUSG00000029660,Tex26,1.2991271212119697,5.63039251068958,0.7665953709762943,0.8755543221161634
ENSMUSG00000075592,Nynrin,1.3248652392336364,5.626437397310556,0.7658003345731776,0.8751001854491733
ENSMUSG00000026955,Sapcd2,0.9714457575757569,5.61789319898796,0.7640847311692562,0.8741194032678008
ENSMUSG00000010453,Kansl3,0.9467961570237886,5.595124867080604,0.7595257719369093,0.8715077578179722
ENSMUSG00000030307,Slc6a11,0.9058977361830287,5.590150286159362,0.7585321637873353,0.8709375200250219
ENSMUSG00000060735,Rxfp3,1.5946591515151511,5.5842617966781685,0.7573571565014726,0.8702626939616983
ENSMUSG00000029754,Dlx6,1.2049347348484858,5.579666405730214,0.7564410383835267,0.8697361889581959
ENSMUSG00000021099,Six6,1.9221653535353034,5.555215824842972,0.7515793537648028,0.8669367645709823
ENSMUSG00000073430,Gm10505,1.4061574242424246,5.548039278463822,0.7501564426003668,0.8661157212522855
ENSMUSG00000034723,Tmx4,0.793646161615607,5.546206593238166,0.7497933665200298,0.8659060956709046
ENSMUSG00000060044,Tmem26,1.3513455194813635,5.540797040493184,0.7487223713246642,0.8652874501139285
ENSMUSG00000039070,Cpa4,1.2047640404030306,5.52185213155688,0.7449798555896862,0.8631221556591432
ENSMUSG00000021136,Smoc1,1.139756098484848,5.51318643226369,0.743272242627493,0.862132381150072
ENSMUSG00000079460,4933403O08Rik,1.7988555681818181,5.499824187388419,0.7406444114718902,0.8606070017562547
ENSMUSG00000047490,4932411E22Rik,1.1844008080809116,5.495740032625127,0.7398424902936,0.8601409711748418
ENSMUSG00000024270,Slc39a6,0.8021058484848487,5.475240514007541,0.7358264220798701,0.857803253712569
ENSMUSG00000042943,4922501L14Rik,1.3321094612783355,5.468873987574171,0.7345822078965819,0.8570777140356538
ENSMUSG00000025047,Pdcd11,0.9284872068501517,5.459835860150016,0.7328183673218436,0.856048110401421
ENSMUSG00000081642,Gm13532,1.9911074242424238,5.456359938017731,0.7321407986330005,0.8556522650194999
ENSMUSG00000042353,Frem3,1.322618333332727,5.45254792039223,0.7313982102574428,0.8552182237636443
ENSMUSG00000094152,Slc6a16,1.2459298787878796,5.434739163877392,0.7279359058861768,0.8531915997512967
ENSMUSG00000032417,Rwdd2a,1.4827977020196972,5.417826744855864,0.724658349777119,0.8512686707362834
ENSMUSG00000026787,Gad2,0.6380472424242409,5.406692574315353,0.7225061704178564,0.8500036296498129
ENSMUSG00000022982,Sod1,0.7992917045454551,5.401568410651048,0.7215171829497584,0.8494216755827216
ENSMUSG00000024552,Slc14a2,1.1869794949513643,5.350604449941031,0.7117319451780703,0.8436420717212189
ENSMUSG00000042761,Mrap2,1.6318717045454534,5.349600953605846,0.7115402020189956,0.843528423954401
ENSMUSG00000083253,Gm7108,0.9644440530303022,5.327833261320876,0.7073897894764324,0.8410646761554265
ENSMUSG00000033585,Ndn,1.2087562121206066,5.325062484787347,0.7068627038773707,0.8407512734913761
ENSMUSG00000047773,Ankfn1,1.4215861010115156,5.324825252240603,0.7068175878061139,0.8407244422556739
ENSMUSG00000081303,Gm16011,0.9854532251074248,5.306009612123957,0.7032456956106249,0.8385974574315289
ENSMUSG00000059361,Nrsn2,1.004724575757578,5.3002667749894865,0.7021580149339397,0.8379486946907547
ENSMUSG00000070526,Peg12,1.1285651010121187,5.271368423910316,0.6967026073364624,0.8346871314070096
ENSMUSG00000044021,Muc19,0.8681605871212121,5.25531493389086,0.693684928653919,0.8328774991881573
ENSMUSG00000085936,2610307P16Rik,1.5437471212121192,5.2441717994503225,0.6915956930784501,0.8316223259860512
ENSMUSG00000031980,Agt,1.2702318181828796,5.212773154298202,0.6857325876502713,0.8280897219808198
ENSMUSG00000048699,4732456N10Rik,1.4142575252536371,5.208437430356181,0.6849257395746156,0.8276024042827664
ENSMUSG00000041309,Nkx6-2,1.268921038960909,5.204793845586156,0.684248212951691,0.8271929720154125
ENSMUSG00000036502,Tmem255a,1.4074636195272738,5.203077420458078,0.6839292070272117,0.8270001251675914
ENSMUSG00000047676,Rpsa-ps10,0.9844922348484824,5.192668829426722,0.6819969736132688,0.8258310805565923
ENSMUSG00000015396,Cd83,1.3528326704545472,5.184619588174374,0.6805053790057962,0.8249274992420826
ENSMUSG00000083611,Gm8832,1.439086212121211,5.182896853565984,0.6801864418740596,0.824734164366955
ENSMUSG00000058897,Col25a1,1.4189796536774244,5.172355045360771,0.6782371011698606,0.8235515170102358
ENSMUSG00000062252,Lhfpl5,1.279143674242424,5.170729313827064,0.6779368319127441,0.8233691953873087
ENSMUSG00000050394,Armcx6,1.0890436363637885,5.165950180653835,0.6770546824864385,0.8228333260669736
ENSMUSG00000044646,Zbtb7c,1.2503228571415157,5.1577487256608,0.6755427297731924,0.8219140647130894
ENSMUSG00000037393,Nmur2,1.5098916363636359,5.138599275815012,0.6720218476366024,0.8197693868623068
ENSMUSG00000048232,Fbxo10,0.9067306397292425,5.135196290678905,0.671397533822242,0.8193885121370948
ENSMUSG00000061702,Tmem91,1.0506931313127268,5.119148625431135,0.6684589928481546,0.8175934153649689
ENSMUSG00000043747,1520401A03Rik,0.9797907575748495,5.100437496110267,0.6650443500351918,0.81550251381292
ENSMUSG00000067604,Nms,1.580304090908939,5.09995979543586,0.6649573368804529,0.8154491626585025
ENSMUSG00000046330,Rpl37a,0.7381017424242406,5.091197058930246,0.6633626507696991,0.8144707795677505
ENSMUSG00000026196,Bard1,0.7587804112536358,5.090370343530398,0.663212342581017,0.814378500809677
ENSMUSG00000020460,Rps27a,1.6257464141422737,5.0735628838390445,0.6601618086877203,0.812503420723704
ENSMUSG00000028755,Cda,1.4875223863636364,5.03981518915938,0.6540671087700851,0.8087441553236011
ENSMUSG00000035539,E230008N13Rik,1.4251414478099993,5.039619526679095,0.6540318914987213,0.8087223822169888
ENSMUSG00000081230,Gm9097,1.3909400757575758,5.037546677818084,0.6536588835971284,0.8084917337840434
ENSMUSG00000074623,Gm826,1.1486978787878792,5.035907322631421,0.6533639912924274,0.8083093413368594
ENSMUSG00000066705,Fxyd6,1.4207471022727258,5.035761549490043,0.6533377738136701,0.8082931236956492
ENSMUSG00000042607,Asb4,2.5456158333333336,5.025203144886653,0.6514408499575336,0.8071188573918551
ENSMUSG00000041035,Dpcd,1.2756584848492416,4.984264414297562,0.6441234411049319,0.8025730129433284
ENSMUSG00000027359,Slc27a2,1.3883590404054553,4.98249077279054,0.6438077723426079,0.8023763283787776
ENSMUSG00000086999,1700040N02Rik,0.7209721969696972,4.976224635182628,0.6426934387507436,0.8016816317907899
ENSMUSG00000057554,Lgals8,0.7404763299653032,4.976220471215454,0.642692698721195,0.801681170242382
ENSMUSG00000039963,Ccdc40,1.4210194848484843,4.9597875175369195,0.6397770208813965,0.7998606259101623
ENSMUSG00000076437,2700094K13Rik,0.7592763131292415,4.955110517019815,0.6389489497522063,0.7993428236696732
ENSMUSG00000068290,Ddrgk1,0.9891285930742431,4.949093909258996,0.6378848477304939,0.7986769357697103
ENSMUSG00000079534,Gm5640,1.969505454545455,4.946164890064004,0.6373672869633041,0.798352858680486
ENSMUSG00000020090,Npffr1,1.6689048989907573,4.932331837608927,0.6349271126166753,0.7968231376012341
ENSMUSG00000029376,Mthfd2l,0.9119790909090888,4.928999621140582,0.6343403252758423,0.7964548482342501
ENSMUSG00000082674,Gm11914,3.0502498484848486,4.902397808830786,0.629670093326287,0.7935175444350849
ENSMUSG00000030500,Slc17a6,1.0257672643104536,4.89872560312931,0.6290273836606748,0.7931124659596991
ENSMUSG00000021102,Glrx5,0.7813010227272725,4.883249878702678,0.6263241130016587,0.7914064145568057
ENSMUSG00000044162,Tnip3,1.1939781818181823,4.869334751697455,0.6239007477559229,0.7898738809176582
ENSMUSG00000079173,Zan,0.626625900176212,4.869146477539585,0.6238680066067737,0.7898531550907255
ENSMUSG00000018263,Tbx5,1.2989178787878775,4.848014951361051,0.6202012485511333,0.7875285699904057
ENSMUSG00000022391,Rangap1,0.581733805703486,4.847461238106397,0.6201053822354852,0.787467702344347
ENSMUSG00000058183,Mmel1,0.7266492975212127,4.847319576395059,0.6200808576061777,0.7874521303585239
ENSMUSG00000063409,Lrrc43,1.3155755892259084,4.842900071437255,0.6193161080744668,0.7869663957720602
ENSMUSG00000059743,Fdps,0.8471421717165137,4.837523280565709,0.6183866507188999,0.7863756422466937
ENSMUSG00000068876,Cgn,1.0191804292925752,4.832750205220867,0.6175624195768841,0.7858513978971369
ENSMUSG00000082170,Gm8617,0.7640671969696973,4.828102628512117,0.6167606418158712,0.7853410990237752
ENSMUSG00000075296,Aldh3b2,1.44079625,4.821582042095524,0.615637041766093,0.7846254149376587
ENSMUSG00000027584,Oprl1,1.0610338352272732,4.818065219063811,0.6150316679534925,0.7842395475576914
ENSMUSG00000002266,Zim1,2.1688912121212116,4.808624517511032,0.6134087625116317,0.7832041640029959
ENSMUSG00000038805,Six3,1.4454687121212118,4.80847355194993,0.6133828366079491,0.783187612649708
ENSMUSG00000066058,Cldn19,1.1103846969696995,4.785974270805114,0.6095280476973519,0.7807227726263349
ENSMUSG00000005553,Atp4a,0.6012504242424237,4.78359210061069,0.6091209702726458,0.780462023594131
ENSMUSG00000031066,Usp11,0.8105255594395473,4.763556778109245,0.6057052522948875,0.7782706806085448
ENSMUSG00000021612,Slc6a18,1.1640803030303029,4.753522043666049,0.6039998708903968,0.7771742860455413
ENSMUSG00000033872,Best4-ps,1.0478902424242422,4.751060333993119,0.6035820579908211,0.7769054369682459
ENSMUSG00000051251,Nhlh1,1.9073525757575753,4.749798399683787,0.6033679604978899,0.7767676361035454
ENSMUSG00000071531,Gprin2,0.8560792676778783,4.746977133393744,0.6028895152715403,0.7764596031163117
ENSMUSG00000027459,Fam110a,1.2132764899009088,4.746322794218846,0.6027785895922244,0.7763881694051142
ENSMUSG00000018593,Sparc,1.2441477777775773,4.746106192270216,0.6027418739026582,0.776364523856325
ENSMUSG00000067288,Rps28,0.7776404924242426,4.741576502273599,0.6019744406635055,0.7758701184241505
ENSMUSG00000045165,AI467606,1.0516896212121205,4.7139157215654715,0.5973039710761657,0.7728544307152323
ENSMUSG00000001260,Gabrg1,1.5467337121212132,4.707802380059016,0.5962754321416519,0.7721887283181825
ENSMUSG00000010066,Cacna2d2,0.8982349053030312,4.704426546931837,0.5957080372450033,0.7718212469510044
ENSMUSG00000002486,Tchp,0.955465656564848,4.698597652439525,0.5947293008884533,0.7711869428928717
ENSMUSG00000038537,Mc3r,1.973661666665909,4.698557236883828,0.5947225189020815,0.7711825457711562
ENSMUSG00000069053,Uba1y,0.4762131439374242,4.692580703980348,0.5937202609573549,0.7705324528904379
ENSMUSG00000040564,Apoc1,1.9795665151528783,4.6831405400137065,0.592139754781483,0.7695061759215991
ENSMUSG00000091002,Tcerg1l,0.9526949873740911,4.681652517085226,0.5918909150173858,0.7693444709734293
ENSMUSG00000036551,Akap14,1.7163292121212117,4.670078159076918,0.5899580528951862,0.7680872690620424
ENSMUSG00000050711,Scg2,1.1505446969696962,4.664567550044296,0.5890394889137396,0.7674890806478876
ENSMUSG00000027070,Lrp2,1.2113800606060603,4.661180975538089,0.5884755185171676,0.7671215800100839
ENSMUSG00000032034,Kcnj5,1.5545207575757578,4.654318683236489,0.5873339884887038,0.7663771842172128
ENSMUSG00000022860,Chodl,1.5592629545437884,4.652203295713384,0.5869824366944577,0.7661477903736704
ENSMUSG00000098176,CCDC166,1.7708300000000001,4.650692579763114,0.5867314718161939,0.7659839892688318
ENSMUSG00000026864,Hspa5,0.9994685037878792,4.645906212674719,0.5859368837002272,0.7654651420543115
ENSMUSG00000063632,Sox11,1.2501266363636363,4.639836620780674,0.5849304431746534,0.7648074549680157
ENSMUSG00000021095,Gsc,1.1485768686871207,4.6139380219864465,0.5806508039459888,0.76200446451841
ENSMUSG00000020230,Prmt2,1.0531653787878774,4.610435369767787,0.5800738437330178,0.7616257898292428
ENSMUSG00000046844,Vat1l,0.9476741666666655,4.6075358501955765,0.5795965635907259,0.7613123955320351
ENSMUSG00000036743,Psma8,1.2702894949498473,4.603018150329101,0.5788535186161126,0.7608242363490484
ENSMUSG00000060198,Gm11353,1.4774951515151526,4.601292482085342,0.5785698831417546,0.7606378133788476
ENSMUSG00000050122,Vwa3b,1.224975086582425,4.599000917724847,0.5781933998478065,0.7603902944197845
ENSMUSG00000029123,Stk32b,0.9917749494943946,4.596049148027703,0.5777087271665954,0.7600715276647293
ENSMUSG00000038295,Atg9b,1.1101214393945469,4.577748015459487,0.5747106757729722,0.7580967456551784
ENSMUSG00000002771,Grin2d,0.767056907309545,4.576469486237739,0.5745016769412193,0.7579588886880471
ENSMUSG00000024510,Ftmt,1.2437887878787883,4.559065252911421,0.5716624451883474,0.7560836231451832
ENSMUSG00000046834,Krt1,0.7809924810606068,4.558204052973174,0.5715222346211472,0.7559908958586388
ENSMUSG00000081499,Gm12517,0.6692953030303039,4.5532288200900926,0.5707127435418247,0.7554553220024495
ENSMUSG00000085939,Cd63-ps,1.2520186363636352,4.5461331496096875,0.5695597779325583,0.7546918430277078
ENSMUSG00000026468,Lhx4,0.6411992676763627,4.545636184541157,0.5694790941509473,0.7546383863486851
ENSMUSG00000082612,4930503H13Rik,2.032328636363637,4.5441746366046045,0.5692418585393528,0.7544811850134852
ENSMUSG00000038630,Zkscan16,0.8270859090912115,4.540115949470769,0.5685834604443221,0.7540447337156609
ENSMUSG00000082862,Gm13806,1.9820542424242422,4.5327030833651785,0.5673824677177031,0.753247945710908
ENSMUSG00000043614,Vps37d,0.8794425757575759,4.51491661290409,0.5645088030664376,0.7513380085330686
ENSMUSG00000080790,Gm7638,1.0659156060606065,4.51424254323659,0.5644001194537558,0.7512656783413946
ENSMUSG00000081141,Gm11501,2.5640287878787875,4.513420606667517,0.564267616480967,0.7511774866707381
ENSMUSG00000085416,1700019G24Rik,1.5333237878787882,4.508619488000703,0.5634941185325517,0.7506624531256054
ENSMUSG00000044997,E130304I02Rik,1.120804949494545,4.505420543687626,0.562979200459387,0.7503193989624598
ENSMUSG00000032401,Lctl,0.7936581515151517,4.503846795196426,0.5627260161579337,0.7501506623058689
ENSMUSG00000056829,Foxb2,1.2922225252522725,4.500576692736334,0.5622002056686551,0.749800110475222
ENSMUSG00000030541,Idh2,1.006780136363635,4.496201367297399,0.5614972800987531,0.7493312218897282
ENSMUSG00000029477,Morn3,1.6936478787878766,4.493652671295845,0.5610881300087045,0.7490581619665488
ENSMUSG00000049960,Mrps16,0.857280454545454,4.491393846917995,0.5607257078281428,0.7488162043039285
ENSMUSG00000036036,Zfp57,0.8175977651507571,4.484249232289642,0.5595805737059538,0.7480511838811258
ENSMUSG00000048218,Amigo2,1.53572979797985,4.473482758520794,0.5578583739468925,0.7468991725439871
ENSMUSG00000095761,Ighv1-20,1.8111324242424245,4.463400808840736,0.5562494237607734,0.7458213081970596
