MGI symbol,430V2_Enrich,430V2_Hedges_g,430V2_Var_g,430V2_SEg
0610005C13Rik,-0.06554769230769253,-0.30845081745167974,0.3732295948434918,0.6109251957838141
0610008F07Rik,-0.029420256410256584,-0.17758011037901436,0.3712418694939797,0.6092962083371106
0610009B14Rik,-0.32603512820512837,-1.3371166744280123,0.42612769153870483,0.6527845674789692
0610009B22Rik,0.3927653846153838,1.4735257985515007,0.4381088564750614,0.6618979199809147
0610009D07Rik,0.05243730769230748,0.13540959001747252,0.3708568933972424,0.6089801728485781
0610009L18Rik,-0.19289000000000023,-0.6118389113296753,0.3819547494256941,0.6180248776754007
0610009O20Rik,-0.5730899999999988,-1.7970722562722217,0.47117730695213944,0.6864235623520942
0610010F05Rik,0.09487938461538512,0.09392759920088112,0.3733842357498097,0.6110515422096439
0610010K14Rik,0.18063410256410162,0.28739383923756984,0.37283751084490113,0.6106042178407394
0610011F06Rik,0.6640203418803422,2.707146960495127,0.6028983761909185,0.775626862276082
0610012G03Rik,-0.5885961538461544,-2.291470515861464,0.5603469114304888,0.7434102205515389
0610012H03Rik,-0.2476594871794875,-1.0573366634246308,0.40519268587584556,0.6365474733873708
0610025J13Rik,-0.09567358974358964,-0.37073181797866867,0.37455147528334054,0.6120061072271588
0610030E20Rik,-0.11322628205128371,-0.494748780997596,0.3818781570416848,0.6178985103180414
0610031J06Rik,0.463931538461539,2.011979372279366,0.49675831633383755,0.704810837270425
0610037L13Rik,-0.07834032051281947,-0.7233115516729688,0.39043479607462067,0.6247800297833298
0610038L08Rik,-0.0073623076923077235,-0.05102757353419771,0.37033777942080987,0.6085538426637448
0610039K10Rik,-0.14927897435897464,-0.9116039360804443,0.39622583951507767,0.6294647245994629
0610040B09Rik,0.17051999999999978,1.0173300882101222,0.4025989261432107,0.6345068369554505
0610040B10Rik,0.04568564102564121,0.09430203553172835,0.3705343125659548,0.6087152968062778
0610040F04Rik,-0.4703676923076916,-2.7815268738313064,0.6120342774390902,0.7823261963139738
0610040J01Rik,-0.43636461538461635,-2.17410958047735,0.5179674248790164,0.7196995379177454
1100001G20Rik,-0.2327951282051277,-1.7060110854855133,0.46120871725014334,0.6791234918997747
1110001A16Rik,-0.42032794871795076,-0.8478642833827954,0.39272121785129216,0.626674730503227
1110001J03Rik,-0.21121717948717667,-0.6421560475471846,0.3831427974252047,0.6189852966147134
1110002E22Rik,-0.606949743589742,-4.60931393474046,1.0341868774124283,1.0169497909987633
1110002L01Rik,-0.0885166666666688,-0.23796272519224945,0.37202598083706406,0.6099393255374375
1110004E09Rik,0.0792732793522271,0.20346811783835936,0.3725105851093785,0.6103352654471688
1110004F10Rik,0.6842171794871792,1.2527123021808215,0.41929666375750946,0.6475312067827383
