Ensembl_gene,Symbol,MoGene_Enrich,MoGene_Hedges_g,MoGene_Var_g,MoGene_SEg
ENSMUSG00000031303,Map3k15,1.9881664880958336,7.508211210589539,1.3304167305967654,1.1534369209439956
ENSMUSG00000062861,Zfp28,1.002495972220835,7.476458784961983,1.3205042385220314,1.1491319500048858
ENSMUSG00000033585,Ndn,1.1326258333333339,7.476280837641801,1.3204488051898395,1.1491078300968276
ENSMUSG00000045193,Cirbp,1.2095852777808354,7.45839915209876,1.3148851124552043,1.1466843996737743
ENSMUSG00000073678,Pgap1,1.1067788988041674,7.447346935520161,1.3114529971629967,1.1451868830732375
ENSMUSG00000029193,Cckar,1.8521233333333322,7.408799545741259,1.299522462391629,1.1399659917697673
ENSMUSG00000000560,Gabra2,1.4140365740766683,7.40403813517016,1.2980530873515903,1.1393213275242373
ENSMUSG00000033036,Gm7879,1.1041225000000008,7.396485021491516,1.2957241283118888,1.1382987869236656
ENSMUSG00000042581,Thsd7b,1.5004999999991675,7.290233134070037,1.2632138882273944,1.1239278839086584
ENSMUSG00000000197,Nalcn,0.8955762643724974,7.274031127927954,1.2582978403309821,1.121738757612922
ENSMUSG00000033318,Gstt2,0.8571927380958337,7.266300810603702,1.255956144916715,1.1206944922309179
ENSMUSG00000082045,Gm11585,1.1355208333333326,7.228453371976369,1.2445272007637258,1.115583793698943
ENSMUSG00000032202,Rab27a,1.4774759259266679,7.215497834197391,1.240628676690199,1.1138351209627928
ENSMUSG00000021611,Tert,1.2756069696983339,7.15193616151964,1.2216032988390542,1.1052616427068545
ENSMUSG00000052707,Tnrc6a,1.4154000000016644,7.147430702806618,1.220261107025938,1.104654292992128
ENSMUSG00000049555,Tmie,1.2397704166675023,7.145613405492539,1.2197199672203538,1.1044093295605366
ENSMUSG00000024026,Glo1,1.2403151190358326,7.104977151878038,1.207655579469401,1.098933837621447
ENSMUSG00000063488,Zkscan7,1.2566915000000023,7.0829674931641105,1.2011499165633706,1.095969852032149
ENSMUSG00000015994,Fnta,0.9808056818175004,7.075531729797074,1.1989565988580728,1.0949687661564018
ENSMUSG00000048040,Arxes2,2.3374741666666656,7.074251891122833,1.19857931885161,1.0947964737117168
ENSMUSG00000041658,Rragb,1.3341578333333342,7.049661612409016,1.1913436736519916,1.0914869095192996
ENSMUSG00000002266,Zim1,2.7647562500000022,7.04921237967079,1.191211722073463,1.0914264620548024
ENSMUSG00000061315,Naca,0.7356501190508293,7.035838766380165,1.1872873881733388,1.0896271785217817
ENSMUSG00000038569,Rad9b,1.6396729166666661,7.023009171116561,1.183529693821034,1.0879015092466018
ENSMUSG00000036764,Dnajc12,1.8424993749999992,7.016250648237881,1.1815529300983498,1.086992608115782
ENSMUSG00000029560,Snx8,0.8992601041666672,6.963346534877523,1.1661450510544398,1.07988196163027
