MGI symbol,430AV2_Enrich,430AV2_Hedges_g,430AV2_Var_g,430AV2_SEg
Rap1gap,-2.3585870833333327,-9.128780182188855,4.1800990771844235,2.044529059999985
Rap1gds1,-1.5793004166666673,-6.148395098870041,2.1104688352337493,1.4527452754126406
Rap2a,0.260882500000001,1.2701918557109102,0.46549724698398454,0.6822735866087625
Rap2b,-0.19270729166666634,-0.10902682603274319,0.6995479590129234,0.8175235557752907
Rap2c,1.0808714583333336,7.298422432453321,3.0110010253786093,1.6860266300635278
Rapgef1,-0.12413499999999988,-0.6388759663165784,0.4257149014892829,0.6519663808298365
Rapgef3,1.3431977083333315,2.5591038709092206,1.7431888339810824,1.2407709320725926
Rapgef4,-3.661970710784313,-13.080303464121187,8.177496223193897,2.858246866596757
Rapsn,0.2045870833333332,0.984454114943375,0.43621372671646713,0.6604647808297329
Rara,0.19204500000000024,1.2860547515274183,0.46734040487543566,0.6836229990831465
Rarb,-1.579982499999999,-8.34374954409582,3.5566231153605696,1.8859011414601163
Rarg,-0.31269020833333316,-2.956902889785543,0.79653947800028,0.890535460952299
Rars,-0.1854287499999998,-1.149465835755348,0.4522192632228216,0.6724724999751451
Rars2,1.8453899999999992,9.155198364467678,4.202054962549317,2.0498914514064683
Rasa1,-0.5199033114035094,-2.3119089842428555,1.0858991284775361,0.9921130500773536
Rasa2,-0.14783583333333272,-0.5005331864474313,0.4035493433667524,0.6352553371414934
Rasa3,-0.12903874999999942,-0.9903582261444192,0.43674370451932976,0.6608658748334111
Rasa4,1.3421720833333328,5.384862161078067,1.7101951171428946,1.3077442858383648
Rasal1,-0.7018695833333339,-5.925977689398413,1.9883983481173226,1.410105793235856
Rasal2,-4.330555,-15.435203553453404,11.221502764539723,3.34985115557986
Rasal3,-0.15793291666666587,-0.7852145848112037,0.4201870012515257,0.6482183283829033
Rasd1,3.162567916666667,15.108735328923668,10.768247060127251,3.2815007329158488
Rasd2,-1.8638162499999984,-4.93869539553422,1.500830195145647,1.225083750257772
Rasgrf1,-0.10660902777777921,0.9998281889645281,1.2194083674095946,1.030408593343077
Rasgrf2,-0.888967083333335,-3.236640548292078,0.8683360964628081,0.9318455325121262
Rasgrp1,-2.5773712777777806,-7.0139710844788885,2.6608993413613455,1.6226140488348566
Rasgrp2,-1.0608362500000004,-4.549261779985822,1.3328788557351412,1.1545037270338894
Rasgrp4,0.07562791666666602,0.37510589928134286,0.39855711450040904,0.6313138003405351
Rasip1,-0.370109583333333,-1.5116542767715526,0.4960295789006845,0.7042936737616522
Rasl10a,-1.212497083333333,-4.226722669423686,1.2042153003433373,1.097367440898142
Rasl11b,-0.7244979166666656,-4.584619888278177,1.3475587092422336,1.1608439642097614
Rasl12,0.1831620833333334,1.0449348851474205,0.44179277261506306,0.6646749375559929
Rasl2-9,0.523252083333333,1.6112390731231165,0.5101656106405442,0.714258784083573
Rassf1,-0.5617370833333348,-3.2093990264602605,0.860354281562609,0.9275528456980814
Rassf2,-0.8020679166666671,-1.4630457598020081,0.48945704448218047,0.6996120671359095
Rassf3,-0.9740786111111106,-5.319854298356447,2.236724480600642,1.386350336487842
Rassf5,-1.2077645833333328,-5.215728065825924,1.6286986972717072,1.276204802244415
Rassf7,0.7724720833333336,6.284517680820285,2.1873961165398224,1.4789848263386014
Rassf8,0.051003333333334844,0.16661102793710197,0.3934232417256178,0.6272345986356443
Rassf9,0.18067458333333297,1.232739271584761,0.4612362815927573,0.679143785654229
Raver1,-0.6791091666666658,-4.5720487853795415,1.3423264626919944,1.1585881333295256
Rax,-0.269365416666667,-4.383672950916303,1.2656427556331171,1.1250078913648194
Rb1,1.2673629166666665,4.186133147933404,1.188693764343644,1.0902723349437258
